City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Castro,BR,-24.7911,-50.0119,70.68,67,94,8.93,overcast clouds
80,Mugur-Aksy,RU,50.35,90.5,13.06,87,100,6.46,overcast clouds
81,Cape Town,ZA,-33.9258,18.4232,74.88,52,20,10.0,few clouds
82,Atuona,PF,-9.8,-139.0333,77.56,76,20,19.84,few clouds
83,Eskisehir,TR,39.7767,30.5206,60.71,39,0,2.3,clear sky
84,Kavieng,PG,-2.5744,150.7967,82.38,81,100,14.83,light rain
85,Sinnamary,GF,5.3833,-52.95,79.36,84,98,8.05,overcast clouds
86,Leningradskiy,RU,69.3833,178.4167,-0.44,96,99,7.11,overcast clouds
87,Manzanillo,CU,20.3433,-77.1167,73.76,87,75,3.91,broken clouds
88,Rawson,AR,-43.3002,-65.1023,62.65,67,100,15.41,overcast clouds
89,Clyde River,CA,70.4692,-68.5914,-3.77,77,100,5.75,overcast clouds
90,Pinawa,CA,50.1489,-95.8811,5.61,98,77,2.93,broken clouds
91,Santiago De Cao,PE,-7.9589,-79.2392,62.73,82,100,4.61,fog
92,Asau,RO,46.4333,26.4,52.72,34,19,3.62,few clouds
93,Kavaratti,IN,10.5669,72.642,79.63,80,100,6.87,overcast clouds
94,Ancud,CL,-41.8697,-73.8203,52.86,94,93,8.1,light rain
95,Umm Lajj,SA,25.0213,37.2685,82.76,56,0,13.73,clear sky
96,Tabory,RU,58.5198,64.5495,32.74,98,100,10.6,light snow
97,Klaksvik,FO,62.2266,-6.589,50.92,93,100,13.8,overcast clouds
98,Ixtapa,MX,20.7,-105.2,70.23,88,0,0.0,clear sky
99,Kutum,SD,14.2,24.6667,81.86,16,0,10.09,clear sky
100,Dikson,RU,73.5069,80.5464,-7.96,100,90,5.57,overcast clouds
101,Montepuez,MZ,-13.1256,38.9997,97.47,18,4,5.3,clear sky
102,Port Hardy,CA,50.6996,-127.4199,41.18,100,100,2.3,overcast clouds
103,Tuktoyaktuk,CA,69.4541,-133.0374,7.07,95,43,3.22,scattered clouds
104,Kalianget,ID,-7.05,113.9333,82.85,77,100,5.37,light rain
105,Oshnaviyeh,IR,37.0397,45.0983,55.27,38,0,3.22,clear sky
106,Ponta Delgada,PT,37.7333,-25.6667,65.12,63,40,10.36,scattered clouds
107,Alice Springs,AU,-23.7,133.8833,74.75,46,35,2.3,scattered clouds
108,Provideniya,RU,64.3833,-173.3,12.31,70,9,4.74,clear sky
109,Zdvinsk,RU,54.7021,78.661,33.94,98,100,18.57,light snow
